dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2007-05-03,070503_172455tex,,4,4,121250,276545,75,Ground Out,X,616,3.751,2.157,3.383,3.768,FC,18,0.391111,R,2,1,R,gid_2007_05_03_nyamlb_texmlb_1/,"In play, out(s)",138.415,-0.856964,9,nya,0.11301736934480794,-131.23192370109044,0.30325396143750016,3.4254365524337405,3.820509111738338,3.383,3.768,-2.8439999446868898,55,6.335999942779541,7.325999927520752,-134.214,-4.711000198364258,6.208000049591065,26.385999923706056,-25.255000564575194,91.70,0.7434437638270834,2.1868705595850484,0.673,2.271,0,12
2007-05-12,070512_214521sea,,4,1,121250,430946,78,Walk,B,591,3.35,1.564,-1.525,10.234,FA,2,1.30373,R,0,0,R,gid_2007_05_12_nyamlb_seamlb_1/,Ball,188.404,1.05487,9,nya,0.11023200940421332,-134.1032533851944,0.29970443771991495,-1.1716479200184575,10.13362322618341,-1.525,10.234,-2.384000024795532,55,6.268999877929687,5.941999931335449,-138.05000012207032,-4.192000080108643,-2.173999942779541,35.80399884033203,-13.37599959564209,94.26,-0.13083938298103173,3.4266681409975783,-0.071,3.399,0,00
2007-05-12,070512_214535sea,,4,2,121250,430946,78,Walk,B,592,3.35,1.564,-0.024,11.742,FA,14,1.32066,R,0,1,R,gid_2007_05_12_nyamlb_seamlb_1/,Ball,180.07,-0.0783875,9,nya,0.10954919715483162,-134.867558161119,0.29848882710038316,0.3164674999456164,11.630715151012238,-0.024,11.742,-2.2490000343322754,55,6.234000030517578,8.219000358581543,-138.98200695800782,-7.223000217437744,0.5920000002384186,37.55800045776367,-10.422000076293946,95.05,1.1539243554370857,2.4191666228013506,1.22,2.387,0,10
2007-05-12,070512_214550sea,,4,3,121250,430946,78,Walk,B,593,3.35,1.564,0.021,10.247,FA,0,1.34932,R,0,2,R,gid_2007_05_12_nyamlb_seamlb_1/,Ball,179.927,1.09295,9,nya,0.11030056069219789,-133.95811347289603,0.30045163278459236,0.36559829418968365,10.14630036686459,0.021,10.247,-2.454999885559082,55,6.1920002136230465,3.4860000801086426,-138.025998046875,-3.8860000858306885,0.6750000008046627,36.879999053955075,-13.446000244140626,94.18,-0.9661858043409468,3.4615558167465528,-0.908,3.433,0,20
2007-05-12,070512_214609sea,,4,4,121250,430946,78,Walk,B,594,3.35,1.564,-3.353,11.925,FA,22,1.32576,R,0,3,R,gid_2007_05_12_nyamlb_seamlb_1/,Ball,195.62,-1.20493,9,nya,0.10973495054318488,-134.63300433696278,0.2990514181162967,-2.987735924582583,11.811430195930665,-3.353,11.925,-2.4709999179840088,55,6.1280000839233395,6.850999851226806,-138.75300305175782,-9.449999977111817,-5.567999996185303,37.54499996948242,-10.166999961853028,94.94,-0.13564085001825893,1.4155208129335288,-0.076,1.381,0,30
2007-05-12,070512_214650sea,,2,1,121250,407777,79,Field Error,S,600,3.679,1.719,-0.502,10.452,FA,7,1.3317,L,0,0,R,gid_2007_05_12_nyamlb_seamlb_1/,Called Strike,182.696,0.339796,9,nya,0.10924041957441777,-135.3766184688248,0.2965122637492706,-0.16300279104149473,10.351468798749805,-0.502,10.452,-2.400999984741211,55,6.136999908447265,5.9010000419616695,-139.24700634765625,-5.033000160217285,-0.3089999928474426,35.42999829101562,-12.555999900817872,95.09,-0.03210494499059378,3.061293594435572,0.029,3.032,0,00
2007-05-12,070512_214706sea,,2,2,121250,407777,79,Field Error,X,601,3.679,1.719,-0.892,10.629,FA,13,1.31818,L,1,0,R,gid_2007_05_12_nyamlb_seamlb_1/,"In play, no out",184.736,0.176531,9,nya,0.10930909433702088,-135.22808492515225,0.2972611523855079,-0.5482114288666645,10.526296117556583,-0.892,10.629,-2.509999952316284,55,6.108000102996826,7.105000038146972,-139.22300427246094,-5.38100020980835,-1.0339999570846556,36.546998870849606,-12.324999954223633,95.12,0.2932039809314229,2.901616037491525,0.356,2.872,0,01
2007-05-12,070512_214802sea,,4,1,121250,400085,80,Fielders Choice Out,S,608,3.69,1.493,-0.563,10.922,FA,17,1.36268,L,0,0,R,gid_2007_05_12_nyamlb_seamlb_1/,Called Strike,182.899,-0.390988,9,nya,0.10935858704765203,-135.0698792736117,0.2982634190546505,-0.21991174627742824,10.816242330887535,-0.563,10.922,-2.515999994277954,55,6.070999923706054,6.180999774932861,-139.2570008544922,-7.08299987411499,-0.4119999780654907,38.288,-11.915000106811524,95.16,-0.030732748573964824,2.1939729021603416,0.031,2.162,0,00
2007-05-12,070512_214819sea,,4,2,121250,400085,80,Fielders Choice Out,S,609,3.69,1.738,0.225,10.362,FA,3,1.36908,L,1,0,R,gid_2007_05_12_nyamlb_seamlb_1/,Foul,178.807,1.20697,9,nya,0.10889880653989212,-135.57111423336852,0.29762725051284744,0.5612554198808322,10.260982109899947,0.225,10.362,-2.457999906539917,55,6.096999946594238,7.4050002288818355,-139.91399853515625,-2.7420000324249267,1.0559999868869783,39.879999053955075,-12.873000289916993,95.55,0.6395636208803424,3.9186088516508386,0.704,3.892,0,01
2007-05-12,070512_214840sea,,4,3,121250,400085,80,Fielders Choice Out,S,610,3.69,1.738,1.81,7.155,FA,14,1.20393,L,2,0,R,gid_2007_05_12_nyamlb_seamlb_1/,Foul,165.915,0.0553279,9,nya,0.10806470980151474,-136.7464402017127,0.2942151102753692,2.1273607844787987,7.0785642449938635,1.81,7.155,-2.4239999866485595,55,6.08700019454956,8.290999908447265,-140.86500256347657,-4.436999965667725,4.096000038146973,38.112001312255856,-18.55000033569336,96.26,1.2427014789896142,2.801151743615817,1.31,2.768,0,02
