dateStamp,park_sv_id,play_guid,ab_total,ab_count,pitcher_id,batter_id,ab_id,des,type,id,sz_top,sz_bot,pfx_xDataFile,pfx_zDataFile,mlbam_pitch_name,zone_location,pitch_con,stand,strikes,balls,p_throws,gid,pdes,spin,norm_ht,inning,pitcher_team,tstart,vystart,ftime,pfx_x,pfx_z,uncorrected_pfx_x,uncorrected_pfx_z,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,start_speed,px,pz,pxold,pzold,tm_spin,sb
2007-04-06,070406_191020sdn,,3,3,118120,115732,4,Fly Out,X,23,4.17,1.67,-5.237,4.215,SL,16,0.356263,L,1,1,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, out(s)",230.786,-0.712,1,sdn,0.12746649314822198,-115.81996910518971,0.3484093599639153,-4.374377093516374,4.322664613824536,-5.237,4.215,-3.008000057220459,55,5.495999870300293,6.68799984741211,-119.53599981689453,-1.1130000061988832,-6.006000179290772,29.153000289916992,-26.24400082397461,81.63,-0.5054073828905618,1.9948132457660752,-0.371,2.03,0,11
2007-04-06,070406_192822sdn,,6,6,118120,453064,10,Fly Out,X,69,3.526,1.624,-8.492,4.111,FA,12,0.416196,R,2,3,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, out(s)",243.881,-0.0262881,2,sdn,0.12211494127064637,-120.88418343701397,0.33391139589582025,-7.629727326984755,4.2085590304263025,-8.492,4.111,-3.3500000648498536,55,5.452000198364257,9.684999588012696,-124.78599981689453,-0.5489999957084656,-11.404999870300292,31.951998168945313,-25.887999923706055,85.34,-0.11929074041222121,2.509844612921027,0.019,2.55,0,32
2007-04-06,070406_193606sdn,,4,1,118120,455104,15,Strikeout,S,104,3.687,1.5,-10.077,4.188,FA,8,0.75,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,247.183,0.307727,3,sdn,0.11985964331594388,-123.2037509521155,0.32725540437827016,-9.214548604033187,4.279559859460333,-10.077,4.188,-2.939999979019165,55,5.503999767303466,10.260000350952149,-127.08900122070312,-0.1490000046491623,-14.340000289916992,32.41499942016601,-25.519000442504883,86.93,0.21402106697816392,2.8866383457513645,0.35,2.93,0,00
2007-04-06,070406_193622sdn,,4,2,118120,455104,15,Strikeout,B,105,3.687,1.414,-8.754,2.914,FA,10,0.512369,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,251.292,0.0241971,3,sdn,0.11984884749110404,-123.18529662424936,0.3275468376427547,-7.9158443761585175,3.0306411538873963,-8.754,2.914,-3.018999975204468,55,5.5029998397827145,7.481000068664551,-127.13000158691406,-0.4759999967813492,-12.29700006866455,32.91399996948242,-27.471000106811523,86.83,-0.9027402857070503,2.5407398426392906,-0.775,2.578,0,01
2007-04-06,070406_193648sdn,,4,3,118120,455104,15,Strikeout,S,106,3.687,1.414,0.191,2.528,SL,0,0.703936,R,1,1,R,gid_2007_04_06_colmlb_sdnmlb_1/,Swinging Strike,175.802,1.73823,3,sdn,0.12274918261877077,-120.40581332843469,0.3339886154235677,0.877439677697109,2.65842124284401,0.191,2.528,-3.2329999618530274,55,5.41099983215332,1.5440000324249268,-123.9949994506836,4.378000228881836,1.3110000011920928,29.24000018310547,-28.20700016784668,84.60,-2.391059770175697,4.4685007223657855,-2.263,4.526,0,11
2007-04-06,070406_193832sdn,,3,1,118120,444865,16,Ground Out,S,111,3.687,1.403,-9.64,3.706,FA,16,0.434475,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,248.7,-0.223292,3,sdn,0.12178991524513501,-121.20781337063657,0.3330111537477744,-8.758378294131974,3.811288688905967,-9.64,3.706,-3.073000114440918,55,5.481999931335449,8.387000205993653,-125.1180005493164,-1.0819999880790712,-13.163000244140624,32.106001312255856,-26.45099964904785,85.50,-0.619934587888938,2.254329278505446,-0.49,2.29,0,00
2007-04-06,070406_193910sdn,,3,2,118120,444865,16,Ground Out,B,112,3.687,1.403,-6.046,2.192,FA,22,0.457024,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,249.582,-0.843257,3,sdn,0.1291923389830336,-114.22491538940108,0.35373358630538315,-5.140485740961201,2.3483919601987036,-6.046,2.192,-3.1140000038146973,55,5.454000053405761,8.149999740600586,-117.98699621582031,-1.0589999861717225,-6.846999782562256,29.11999934387207,-29.051000030517578,80.64,0.023410714517898,1.5550298373278166,0.163,1.582,0,01
2007-04-06,070406_194010sdn,,3,1,118120,430838,17,Hit By Pitch,S,117,3.692,1.485,-9.422,4.37,FA,3,0.75,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,244.862,0.908473,3,sdn,0.12067281022317741,-122.3421304912626,0.3298213151464417,-8.560063383336823,4.458542549965195,-9.422,4.37,-2.9020001106262208,55,5.492000160217285,9.833000305175782,-126.2639966430664,1.3790000371932982,-13.114999908447265,32.49999850463867,-25.348000915527344,86.35,0.1968854950271577,3.5411370802317714,0.334,3.591,0,00
2007-04-06,070406_194027sdn,,3,2,118120,430838,17,Hit By Pitch,S,118,3.692,1.485,-10.295,5.402,FA,7,0.75,R,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Foul Bunt,242.087,0.482556,3,sdn,0.12017772499086896,-122.81628746762111,0.328795248143403,-9.420168029710874,5.469315233144648,-10.295,5.402,-2.890999954223633,55,5.508999881744384,9.625000122070313,-126.81399969482422,-0.09000000429153443,-14.52299990081787,33.26500170898437,-23.74699917602539,86.71,-0.033393702149915994,3.075203118309399,0.1,3.121,0,01
2007-04-06,070406_194247sdn,,2,1,118120,430565,18,Triple,S,124,3.447,1.5,-9.864,7.738,FA,10,0.798308,L,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Called Strike,231.714,-0.0868002,3,sdn,0.11125150932626002,-132.46926374162257,0.3062876402196065,-9.099400534430371,7.746254673866586,-9.864,7.738,-3.380000036239624,55,5.8119998550415035,7.814999702453614,-137.1899991455078,-4.442999870300293,-16.16600050354004,42.4330009765625,-18.416999252319336,93.74,-1.526116385666493,2.3515072420632244,-1.4,2.389,0,00
2007-04-06,070406_194259sdn,,2,2,118120,430565,18,Triple,X,125,3.447,1.534,-9.129,9.279,FA,18,0.747866,L,1,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, run(s)",224.379,-0.832723,3,sdn,0.11088874896473307,-132.920424643245,0.3051189173825025,-8.383248272423346,9.257993172940013,-9.129,9.279,-3.391999881744385,55,5.6950002288818355,11.649000289916993,-137.6209989013672,-6.4549999542236325,-15.007999557495117,42.39000170898437,-15.604999931335449,94.27,0.15539847725570666,1.6593875270563034,0.299,1.694,0,01
2007-04-06,070406_194453sdn,,2,1,118120,425548,19,Fly Out,B,131,3.669,1.5,-6.003,9.79,FA,16,0.815266,R,0,0,R,gid_2007_04_06_colmlb_sdnmlb_1/,Ball,211.379,-0.401568,3,sdn,0.11001237240764536,-134.19359810074081,0.30071874026420164,-5.334208091886655,9.75903376848575,-6.003,9.79,-3.196000020980835,55,5.7610002136230465,8.560999992370606,-138.50300268554687,-5.974999935150146,-9.831000465393066,39.171999389648434,-14.193000228881836,94.70,-0.5089884048847388,2.1097340835059475,-0.369,2.149,0,00
2007-04-06,070406_194509sdn,,2,2,118120,425548,19,Fly Out,X,132,3.669,1.5,-6.245,10.579,FA,19,0.740358,R,0,1,R,gid_2007_04_06_colmlb_sdnmlb_1/,"In play, out(s)",210.424,-0.404334,3,sdn,0.11084166533946199,-133.04134267198984,0.3043771762516003,-5.5559485741340975,10.533789681523794,-6.245,10.579,-3.1649998836517335,55,5.745999870300293,11.817999961853028,-137.61500219726562,-6.020999938964843,-9.995000022888183,41.26299899291992,-13.228999526977539,94.26,0.8804327385365962,2.105615119156159,1.032,2.146,0,10
